Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz,
look,2.490558,1379.810586,3467.522304,3970.082694,4499.089712,
look,2.496808,1351.524866,3539.105775,3978.192944,4558.855335,
look,2.503058,231.457646,1367.570299,2992.100370,4001.772603,
look,2.509308,224.516372,1430.542684,2842.521493,4180.414303,
look,2.515558,88.657598   1,613.057997   2,808.929450   4,335.466738,
look,2.521808,1742.535089,3425.972869, --undefined--,   --undefined--,
look,2.528058,1659.056934,3627.770719, --undefined--,   --undefined--,
look,2.534308,1515.926114,3301.412395, --undefined--,   --undefined--,
look,2.540558,1447.702277,3343.205346, --undefined--,   --undefined--,
look,2.546808,1151.652838,2106.281028,3350.332373,4560.165095,
look,2.553058,1276.023610,1763.371253,2991.156349,4551.786324,
look,2.559308,345.462730,1862.625114,3108.060955,4376.797289,
look,2.565558,1760.885045,3014.597769, --undefined--,   --undefined--,
look,2.571808,1156.678592,2272.213628,3254.708546,4341.012699,
look,2.578058,1633.260817,2752.819049, --undefined--,   --undefined--,
look,2.584308,1465.810547,2681.892931,4233.814904,4906.367273,
great,2.590558,1175.203905,2049.515548,2925.079531,4431.042356,
great,2.596808,938.490837,1876.204932,3055.509209,4332.173059,
great,2.603058,496.531825,1596.667317,2964.868292,4271.631897,
great,2.609308,918.035139,1944.207498,3070.540783,4309.496205,
great,2.615558,1316.198493,2374.365918,3410.258555,4935.077481,
great,2.621808,1297.363248,2152.740998,3494.035468,4846.433926,
great,2.628058,1235.974057,2185.016322,3551.681917,4723.738197,
great,2.634308,1228.544655,2235.803186,3467.227993,4815.065512,
great,2.640558,581.538932,1316.325491,2654.053747,3249.698852,
great,2.646808,709.364585,1367.151912,2735.865061,3411.690678,
great,2.653058,627.869310,1419.608749,2772.867863,3393.325564,
great,2.659308,378.783847,1375.217242,2891.196515,3419.170862,
great,2.665558,391.097046,1249.525833,2757.500974,3345.810763,
great,2.671808,402.860140,1240.002030,2724.325077,3390.134028,
great,2.678058,403.355004,1245.813698,2687.459465,3447.732195,
great,2.684308,403.420291,1264.099217,2649.595985,3444.073095,
great,2.690558,425.391197,1295.299812,2644.050541,3476.631886,
great,2.696808,446.358016,1310.897615,2613.805103,3562.167566,
great,2.703058,467.685805,1320.946931,2565.331867,3584.573493,
great,2.709308,485.610897,1332.883481,2533.386101,3566.830001,
great,2.715558,509.082272,1364.398060,2529.207743,3624.107914,
great,2.721808,520.666404,1407.317598,2495.020616,3611.179116,
great,2.728058,521.686784,1451.550900,2472.020319,3479.040585,
great,2.734308,521.923193,1477.434228,2469.281378,3453.081052,
great,2.740558,525.287978,1486.975111,2450.609442,3450.410579,
great,2.746808,527.454977,1494.452319,2427.840372,3444.741913,
great,2.753058,531.820868,1522.259038,2410.310483,3471.965321,
great,2.759308,531.575703,1607.075489,2380.017795,3436.553864,
great,2.765558,528.658948,1665.851927,2378.363278,3371.203058,
great,2.771808,530.586022,1704.372147,2350.811519,3216.457170,
great,2.778058,533.151191,1773.180347,2331.941126,3082.001342,
great,2.784308,535.089679,1855.206911,2369.526806,3232.843626,
great,2.790558,541.059081,1897.381238,2397.790636,3354.190171,
great,2.796808,546.017138,1955.445286,2433.066634,3497.768442,
great,2.803058,553.518121,2022.486071,2507.023898,3531.954265,
great,2.809308,564.324846,2103.532601,2708.550828,3566.439272,
great,2.815558,566.354992,2113.627285,2868.641458,3675.983016,
great,2.821808,562.222481,2104.798907,2936.662062,3777.896000,
great,2.828058,558.096990,2117.178481,2963.147091,3794.242411,
great,2.834308,555.224615,2151.606741,2962.692389,3732.030848,
great,2.840558,546.499553,2180.920102,2939.913141,3633.483226,
great,2.846808,538.831222,2319.301974,3010.226226,3499.826897,
great,2.853058,528.889958,2401.892886,3135.321595,3451.675800,
great,2.859308,512.113936,2424.491749,3169.154050,3214.394243,
great,2.865558,487.774617,2497.232120,2700.972285,3456.636780,
great,2.871808,465.747379,2557.423726,2634.529142,3530.801535,
great,2.878058,444.675800,2565.726344,2666.426819,3511.473451,
great,2.884308,424.161830,2365.350137,2703.885391,3516.338737,
great,2.890558,403.416244,2396.490898,2717.242517,3539.096995,
great,2.896808,391.542812,2486.707435,2688.389106,3545.118028,
great,2.903058,378.173068,2438.616387,2713.624528,3599.556374,
great,2.909308,371.398825,2458.543142,2775.774387,3647.260775,
great,2.915558,371.928919,2605.554329,2749.156233,3529.782220,
great,2.921808,377.289790,2470.187142,2743.601206,3495.787196,
great,2.928058,377.845501,2626.539701,2721.471149,3434.313254,
great,2.934308,362.669703,2625.086139,2723.268506,3314.500949,
great,2.940558,348.842436,2557.788990,2652.748095,3255.511376,
great,2.946808,325.945105,2439.445528,2546.576895,3340.836670,
great,2.953058,257.267403,2241.838938,2554.668808,3307.963291,
great,2.959308,274.603408,2107.046579,2682.189048,3336.486836,
great,2.965558,280.429195,2515.276076,2583.716900,3371.012132,
great,2.971808,278.059109,2508.640487,3339.785771,4376.876718,
great,2.978058,872.809257,2625.481638,3432.661315,4420.161018,
great,2.984308,676.307830,2516.752227,3333.035760,4371.060873,
great,2.990558,150.939116,2203.040035,2622.220881,3377.846516,
great,2.996808,470.203521,2426.061372,3286.180427,4208.883549,
great,3.003058,702.111884,2365.449872,3207.962030,4284.484105,
great,3.009308,2001.360169,3089.789030,4462.870536,4463.085564,
great,3.015558,1614.539577,2837.204251,3557.454686,4915.544207,
great,3.021808,1718.719300,2910.687761,3665.534195,4906.654818,
great,3.028058,1891.959045,3162.534134,3786.187978,4669.390152,
great,3.034308,1919.669445,3387.311892,4007.252731,4612.236032,
great,3.040558,1153.415468,2123.922593,3335.355847,4450.862305,
great,3.046808,1811.691510,1992.573897,3223.705393,4186.851759,
great,3.053058,1996.746542,3110.958338, --undefined--,   --undefined--,
great,3.059308,496.873062,2032.346587,3096.717658,4186.961875,
great,3.065558,499.328437,2093.540999,3208.605963,4312.880817,
great,3.071808,605.517599,2106.769771,3274.275530,4358.418281,
great,3.078058,610.415940,2100.223710,3135.959489,4337.457725,
great,3.084308,735.442622,2112.209201,3101.589251,4301.568115,
great,3.090558,1071.996757,2148.877683,3189.826953,4342.700380,
great,3.096808,1172.003592,2217.858318,3047.457066,4379.236101,
great,3.103058,1124.369959,2208.998840,2991.805206,4366.171287,
great,3.109308,942.645721,2223.303808,3018.063942,4343.093962,
great,3.115558,858.661665,2239.853971,3156.801908,4362.564113,
great,3.121808,817.521651,2212.721188,3086.168563,4311.921033,
great,3.128058,765.696473,2236.930596,2970.521079,4207.764610,
great,3.134308,1034.306207,2208.253294,3096.460198,4199.160283,
great,3.140558,959.428574,2179.062516,2616.492168,4242.618045,
great,3.146808,497.776310,2127.309887,2688.261159,4211.863505,
great,3.153058,437.856691,2079.351839,2672.362714,4161.397678,
great,3.159308,744.214306,2078.818307,2636.540670,4059.470883,
great,3.165558,804.436821,2051.389094,2961.459022,4125.734852,
great,3.171808,1036.838062,2050.321512,3015.169015,4164.464915,
great,3.178058,2013.449381,2577.076526, --undefined--,   --undefined--,
great,3.184308,1234.852650,2005.640515,2901.214861,4157.165753,
great,3.190558,1186.031921,2047.102317,3559.754982,4467.177151,
great,3.196808,1165.730465,2042.457468,3084.884199,4264.713994,
great,3.203058,1205.901338,1919.457746,3051.801506,4274.134925,
great,3.209308,1035.860779,1917.998764,3001.540146,4276.217930,
great,3.215558,1106.383746,2028.902740,3207.326927,4288.831315,
great,3.221808,340.039949,1830.616170,2040.932820,4093.489603,
great,3.228058,1818.278718,2456.742030, --undefined--,   --undefined--,
great,3.234308,1872.629648,2550.123764, --undefined--,   --undefined--,
great,3.240558,994.662583,1906.775172,3576.650573,4454.764198,
great,3.246808,949.191509,1927.376027,3294.618435,4540.045793,
great,3.253058,876.124713,1964.459340,3271.585831,4608.051187,
great,3.259308,707.482779,1934.844049,3186.368747,4507.277921,
great,3.265558,519.531473,2001.365448,3196.574234,4534.970791,
